"Language","ISO_code","Phoible_code","Meaning","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","Meaning.f"
"Aymara","ayr","ayr","‘rough’","no","CLICS","-17","-68.5","Aymaran","NA","Andean","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Chipaya","cap","cap","‘rough’","no","CLICS","-18.73951","-67.89633","Chipaya","NA","Andean","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Mosetén","cas","cas","‘rough’","no","CLICS","-14.64448","-67.83756","Moset��n","NA","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Mosetén","cas","cas","‘rough’","no","CLICS","-14.64448","-67.83756","Moset��n","NA","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Cavineña","cav","cav","‘rough’","no","CLICS","-13.3544","-66.6277","Pano-Tacanan","Tacanan","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Ese Ejja","ese","ese","‘rough’","no","CLICS","-11.7268","-67.515","Pano-Tacanan","Tacanan","NE South America","S America","6.2","TRUE","no rhotic","FALSE","FALSE","‘rough’"
"Tacana","tna","tna","‘rough’","no","CLICS","-13.39249","-68.04056","Pano-Tacanan","Tacanan","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Tacana","tna","tna","‘rough’","no","CLICS","-13.39249","-68.04056","Pano-Tacanan","Tacanan","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Tacana","tna","tna","‘rough’","no","CLICS","-13.39249","-68.04056","Pano-Tacanan","Tacanan","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Itonama","ito","ito","‘rough’","no","CLICS","-12.80431","-64.35748","Itonama","NA","NE South America","S America","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Movima","mzp","mzp","‘rough’","no","CLICS","-13.8115","-65.6348","Movima","NA","NE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Aché","guq","guq","‘rough’","no","CLICS","-25.5865","-56.4697","Tupian","Tupi-Guaran�_","SE South America","S America","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Chiriguano","gui","gui","‘rough’","no","CLICS","-20.42","-63.37","Tupian","Tupi-Guaran�_","SE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Sirionó","srq","srq","‘rough’","no","CLICS","-15.5298","-63.9688","Tupian","Tupi-Guaran�_","NE South America","S America","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Wayampi","oym","oym","‘rough’","no","CLICS","1.73817","-52.6887","Tupian","Tupi-Guaran�_","NE South America","S America","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Kaingáng","kgp","kgp","‘rough’","no","CLICS","-27.7671","-52.5394","Macro-Ge","Ge","SE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Ayoreo","ayo","ayo","‘rough’","no","CLICS","-19.220055","-60.217495","Zamucoan","NA","SE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Mocoví","moc","moc","‘rough’","no","CLICS","-28.097","-60.4145","Guaicuruan","NA","SE South America","S America","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Kunza","kuz","kuz","‘rough’","no","CLICS","-23","-69","Atacame��o","NA","Andean","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Kunza","kuz","kuz","‘rough’","no","CLICS","-23","-69","Atacame��o","NA","Andean","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Selknam","ona","ona","‘rough’","no","CLICS","-54","-68.5","Chon","NA","SE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Toba","tob","tob","‘rough’","no","CLICS","-23.77","-61.96","Guaicuruan","NA","SE South America","S America","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Central Thai","tha","tha","‘rough’","no","CLICS","14.192","100.671","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Central Thai","tha","tha","‘rough’","no","CLICS","14.192","100.671","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Thai","tha","tha","‘rough’","no","CLICS","6.85668","99.7031","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Thai","tha","tha","‘rough’","no","CLICS","6.85668","99.7031","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Southern Kam","doc; kmc","NA","‘rough’","no","CLICS","25.8874","109.222","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Southern Kam","doc; kmc","NA","‘rough’","no","CLICS","25.8874","109.222","Tai-Kadai","NA","Southeast Asia","S/SE Asia","6.2","TRUE","no trill","FALSE","TRUE","‘rough’"
"Ingush","inh","inh","‘rough’","no","CLICS","43.11","45.03","Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Tsova-Tush","bbl","bbl","‘rough’","yes","CLICS","42.1806","45.344","Nakh-Daghestanian","Nakh","Greater Mesopotamia","W and SW Eurasia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Khasi","kha","kha","‘rough’","yes","CLICS","24.977","91.9998","Austroasiatic","Northern Mon-Khmer","Indic","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Tamil","tam","tam","‘rough’","no","CLICS","10.520219","78.825989","Dravidian","South Dravidian","Indic","S/SE Asia","6.2","TRUE","no trill","TRUE","FALSE","‘rough’"
"Telugu","tel","tel","‘rough’","no","CLICS","16.4529","78.7024","Dravidian","South Dravidian","Indic","S/SE Asia","6.2","TRUE","no trill","FALSE","FALSE","‘rough’"
"Tibetan","bod","bod","‘rough’","yes","CLICS","28.3681","90.1872","Sino-Tibetan","Bodic","Inner Asia","N-C Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Bulang","blr","blr","‘rough’","yes","CLICS","22.0092","99.7405","Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","trill","FALSE","FALSE","‘rough’"
"Bulang","blr","blr","‘rough’","yes","CLICS","22.0092","99.7405","Austroasiatic","Northern Mon-Khmer","Southeast Asia","S/SE Asia","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
