"Language","ISO_code","Phoible_code","Meaning","Trill","Dataset","Latitude","Longitude","Family","Branch","Area","Continent","Rough.M","rough","R_type","r","l","Meaning.f"
"Lamboya","lmy","NA","‘rough’","yes","CLICS","-9.7","119.34","Austronesian","NA","Oceania","NG and Oceania","6.2","TRUE","trill","TRUE","FALSE","‘rough’"
"Azeerbaijani","aze","azj","‘smooth’","no","Google","40.5","48.5","Turkic","Common Turkic","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","no trill","TRUE","FALSE","‘smooth’"
"Estonian","est","est","‘smooth’","yes","Google","59","26","Uralic","Finno-Ugric","Inner Asia","N-C Asia","-6.9","FALSE","NA","FALSE","TRUE","‘smooth’"
"Basque","eus","eus","‘smooth’","yes","Google","43","-3","Basque","NA","Europe","W and SW Eurasia","-6.9","FALSE","mixed with trill","FALSE","TRUE","‘smooth’"
"Finnish","fin","fin","‘smooth’","yes","Google","62","25","Uralic","Finno-Ugric","Inner Asia","N-C Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Indonesian","ind","ind","‘smooth’","yes","Google","0","106","Austronesian","Malayo-Polynesian","Southeast Asia","S/SE Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Georgian","kat","kat","‘smooth’","yes","Google","42","44","Kartvelian","Georgian-Zan","Greater Mesopotamia","W and SW Eurasia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
"Kazakh","kaz","kaz","‘smooth’","yes","Google","50","70","Turkic","Common Turkic","Inner Asia","N-C Asia","-6.9","FALSE","NA","FALSE","FALSE","‘smooth’"
"Mongolian","mon","khk","‘smooth’","yes","Google","49","117","Mongolic","NA","Inner Asia","N-C Asia","-6.9","FALSE","trill","TRUE","TRUE","‘smooth’"
"Malay","mly","zsm","‘smooth’","yes","Google","3","102","Austronesian","Malayo-Polynesian","Southeast Asia","S/SE Asia","-6.9","FALSE","trill","FALSE","TRUE","‘smooth’"
